"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2018 WE)","2057-2113","8","1.3e-6","12.75","28.3","0.007","-7.40","-7.62","0","bK18W00E"
"(2018 RJ3)","2070-2070","1","1.1e-6","8.13","27.8","0.009","-7.41","-7.41","0","bK18R03J"
"(2014 SH224)","2119-2119","2","2.8e-7","10.84","26.1","0.020","-7.41","-7.43","0","bK14SM4H"
"(2021 UK2)","2088-2119","17","4.7e-7","12.07","26.8","0.015","-7.41","-8.01","0","bK21U02K"
"(2022 DA3)","2077-2122","6","1.3e-6","10.17","27.8","0.009","-7.41","-7.68","0","bK22D03A"
"(2007 FP3)","2055-2115","24","2.9e-6","9.64","28.4","0.007","-7.42","-7.98","0","bK07F03P"
"(2019 NL4)","2074-2120","4","1.3e-7","13.96","26.1","0.021","-7.42","-7.56","0","bK19N04L"
"(2019 SX8)","2110-2121","10","7.7e-6","8.31","28.9","0.005","-7.42","-7.53","0","bK19S08X"
"(2016 WR55)","2100-2115","11","2.4e-6","14.13","28.3","0.007","-7.42","-7.68","0","bK16W55R"
"(2005 GQ33)","2046-2110","4","3.5e-9","19.23","23.6","0.063","-7.42","-7.51","0","bK05G33Q"
"(2016 DK2)","2069-2091","2","2.0e-6","17.57","29.0","0.005","-7.43","-7.43","0","bK16D02K"
"(2021 VY7)","2044-2121","16","3.5e-6","12.22","29.3","0.005","-7.43","-7.76","0","bK21V07Y"
"(2004 RV164)","2111-2111","1","3.6e-8","7.95","24.2","0.049","-7.44","-7.44","0","bK04RG4V"
"(2020 VV6)","2060-2110","10","1.5e-6","13.39","28.4","0.007","-7.44","-7.58","0","bK20V06V"
"(2015 RO82)","2097-2112","2","1.7e-8","8.79","23.6","0.065","-7.45","-7.47","0","bK15R82O"
"(2018 LV3)","2061-2061","1","1.6e-7","11.19","26.6","0.017","-7.45","-7.45","0","bK18L03V"
"(2009 WJ6)","2049-2049","1","2.4e-7","18.16","27.6","0.010","-7.45","-7.45","0","bK09W06J"
"(2021 VG1)","2077-2077","1","1.6e-7","12.03","26.2","0.019","-7.45","-7.45","0","bK21V01G"
"(2020 KS)","2095-2120","3","2.0e-7","7.08","25.8","0.024","-7.46","-7.76","0","bK20K00S"
"(2002 RC117)","2057-2057","1","2.0e-8","12.01","24.8","0.037","-7.46","-7.46","0","bK02RB7C"
"(2008 CB6)","2077-2122","5","8.0e-7","7.41","27.1","0.013","-7.47","-7.78","0","bK08C06B"
"(2011 AZ22)","2034-2095","5","8.5e-7","12.49","28.6","0.006","-7.48","-7.57","0","bK11A22Z"
"(2019 GK3)","2103-2121","5","1.4e-5","2.95","29.5","0.004","-7.48","-7.48","0","bK19G03K"
"(2021 LK6)","2077-2115","11","1.9e-6","12.58","28.4","0.007","-7.48","-7.90","0","bK21L06K"
"(2019 QR)","2089-2089","1","2.5e-7","6.24","26.2","0.019","-7.49","-7.49","0","bK19Q00R"
"(2010 JH80)","2082-2082","1","9.1e-9","26.90","24.5","0.042","-7.49","-7.49","0","bK10J80H"
"(2014 HB177)","2059-2100","7","2.1e-6","6.09","28.3","0.007","-7.49","-7.68","0","bK14HH7B"
"(2007 EE126)","2092-2102","2","2.7e-8","31.78","25.6","0.026","-7.49","-7.58","0","bK07EC6E"
"(2021 AL1)","2105-2111","3","6.7e-8","13.04","25.3","0.030","-7.50","-7.66","0","bK21A01L"
